id,name,open_date,event_type_id
33173359,Seattle Mariners @ Toronto Blue Jays,2024-04-08 23:08:00,7511
33173356,Washington Nationals @ San Francisco Giants,2024-04-09 01:46:00,7511
33173346,Milwaukee Brewers @ Cincinnati Reds,2024-04-08 22:41:00,7511
33173351,Philadelphia Phillies @ St. Louis Cardinals,2024-04-08 23:46:00,7511
33173349,New York Mets @ Atlanta Braves,2024-04-08 23:21:00,7511
33173358,Chicago White Sox @ Cleveland Guardians,2024-04-08 21:11:00,7511
33176074,Houston Astros @ Kansas City Royals,2024-04-09 23:41:00,7511
33176075,Oakland Athletics @ Texas Rangers,2024-04-10 00:06:00,7511
33176072,Baltimore Orioles @ Boston Red Sox,2024-04-09 18:11:00,7511
33176073,Seattle Mariners @ Toronto Blue Jays,2024-04-09 23:08:00,7511
33176046,Milwaukee Brewers @ Cincinnati Reds,2024-04-09 22:41:00,7511
33176078,Miami Marlins @ New York Yankees,2024-04-09 23:06:00,7511
33176079,Los Angeles Dodgers @ Minnesota Twins,2024-04-09 23:41:00,7511
33176076,Tampa Bay Rays @ Los Angeles Angels,2024-04-10 01:39:00,7511
33176077,Detroit Tigers @ Pittsburgh Pirates,2024-04-09 16:36:00,7511
33176066,New York Mets @ Atlanta Braves,2024-04-09 23:21:00,7511
33176067,Philadelphia Phillies @ St. Louis Cardinals,2024-04-09 23:46:00,7511
33176070,Washington Nationals @ San Francisco Giants,2024-04-10 01:46:00,7511
33176071,Chicago White Sox @ Cleveland Guardians,2024-04-09 22:11:00,7511
33176068,Arizona Diamondbacks @ Colorado Rockies,2024-04-10 00:41:00,7511
33176069,Chicago Cubs @ San Diego Padres,2024-04-10 02:06:00,7511
33178459,Philadelphia Phillies @ St. Louis Cardinals,2024-04-10 17:16:00,7511
33178462,Chicago Cubs @ San Diego Padres,2024-04-10 22:41:00,7511
33178463,Milwaukee Brewers @ Cincinnati Reds,2024-04-10 22:41:00,7511
33178460,Arizona Diamondbacks @ Colorado Rockies,2024-04-10 19:11:00,7511
33178461,Washington Nationals @ San Francisco Giants,2024-04-10 19:46:00,7511
33178472,Los Angeles Dodgers @ Minnesota Twins,2024-04-10 17:11:00,7511
33178473,Miami Marlins @ New York Yankees,2024-04-10 23:06:00,7511
33178466,Chicago White Sox @ Cleveland Guardians,2024-04-10 22:11:00,7511
33178467,Seattle Mariners @ Toronto Blue Jays,2024-04-10 19:08:00,7511
33178470,Houston Astros @ Kansas City Royals,2024-04-10 23:41:00,7511
33178471,Oakland Athletics @ Texas Rangers,2024-04-11 00:06:00,7511
33178468,Tampa Bay Rays @ Los Angeles Angels,2024-04-10 20:08:00,7511
33178469,Baltimore Orioles @ Boston Red Sox,2024-04-10 23:11:00,7511
33178465,New York Mets @ Atlanta Braves,2024-04-10 23:21:00,7511
33181177,Milwaukee Brewers @ Cincinnati Reds,2024-04-11 17:11:00,7511
33181180,Pittsburgh Pirates @ Philadelphia Phillies,2024-04-11 22:41:00,7511
33181174,New York Mets @ Atlanta Braves,2024-04-11 16:21:00,7511
33181192,Baltimore Orioles @ Boston Red Sox,2024-04-11 23:11:00,7511
33181187,Houston Astros @ Kansas City Royals,2024-04-11 18:11:00,7511
33181184,Minnesota Twins @ Detroit Tigers,2024-04-11 17:11:00,7511
33181191,Oakland Athletics @ Texas Rangers,2024-04-11 18:36:00,7511
33183962,Atlanta Braves @ Miami Marlins,2024-04-12 23:11:00,7511
33183960,Pittsburgh Pirates @ Philadelphia Phillies,2024-04-12 22:41:00,7511
33183966,San Diego Padres @ Los Angeles Dodgers,2024-04-13 02:11:00,7511
33183967,Texas Rangers @ Houston Astros,2024-04-13 00:11:00,7511
33183986,Washington Nationals @ Oakland Athletics,2024-04-13 01:41:00,7511
33183984,Kansas City Royals @ New York Mets,2024-04-12 23:11:00,7511
33183985,Chicago Cubs @ Seattle Mariners,2024-04-13 01:41:00,7511
33183957,St. Louis Cardinals @ Arizona Diamondbacks,2024-04-13 01:41:00,7511
33183979,San Francisco Giants @ Tampa Bay Rays,2024-04-12 22:51:00,7511
33183977,Los Angeles Angels @ Boston Red Sox,2024-04-12 23:11:00,7511
33183982,Colorado Rockies @ Toronto Blue Jays,2024-04-12 23:08:00,7511
33183983,Cincinnati Reds @ Chicago White Sox,2024-04-12 23:41:00,7511
33183981,Milwaukee Brewers @ Baltimore Orioles,2024-04-12 23:06:00,7511
33183970,New York Yankees @ Cleveland Guardians,2024-04-12 23:11:00,7511
33183972,Minnesota Twins @ Detroit Tigers,2024-04-12 22:41:00,7511
33187992,New York Yankees @ Cleveland Guardians Game 1,2024-04-13 16:11:00,7511
33186698,Colorado Rockies @ Toronto Blue Jays,2024-04-13 19:08:00,7511
33186699,Milwaukee Brewers @ Baltimore Orioles,2024-04-13 20:06:00,7511
33186696,Kansas City Royals @ New York Mets,2024-04-13 17:41:00,7511
33186697,Cincinnati Reds @ Chicago White Sox,2024-04-13 18:11:00,7511
33186702,Chicago Cubs @ Seattle Mariners,2024-04-14 01:41:00,7511
33186703,Minnesota Twins @ Detroit Tigers Game 2,2024-04-13 20:11:00,7511
33186700,Washington Nationals @ Oakland Athletics,2024-04-13 20:08:00,7511
33186701,San Francisco Giants @ Tampa Bay Rays,2024-04-13 20:11:00,7511
33186690,Atlanta Braves @ Miami Marlins,2024-04-13 20:11:00,7511
33186691,San Diego Padres @ Los Angeles Dodgers,2024-04-14 01:11:00,7511
33186688,Pittsburgh Pirates @ Philadelphia Phillies,2024-04-13 20:06:00,7511
33186689,St. Louis Cardinals @ Arizona Diamondbacks,2024-04-14 00:11:00,7511
33186694,Minnesota Twins @ Detroit Tigers Game 1,2024-04-13 17:11:00,7511
33186695,Los Angeles Angels @ Boston Red Sox,2024-04-13 20:11:00,7511
33186692,New York Yankees @ Cleveland Guardians Game 2,2024-04-13 22:11:00,7511
33186693,Texas Rangers @ Houston Astros,2024-04-13 20:06:00,7511
33189650,Colorado Rockies @ Toronto Blue Jays,2024-04-14 17:38:00,7511
33189651,Kansas City Royals @ New York Mets,2024-04-14 17:41:00,7511
33189648,Minnesota Twins @ Detroit Tigers,2024-04-14 17:41:00,7511
33189649,Milwaukee Brewers @ Baltimore Orioles,2024-04-14 17:36:00,7511
33189654,Washington Nationals @ Oakland Athletics,2024-04-14 20:08:00,7511
33189655,Chicago Cubs @ Seattle Mariners,2024-04-14 20:11:00,7511
33189652,San Francisco Giants @ Tampa Bay Rays,2024-04-14 17:41:00,7511
33189653,Cincinnati Reds @ Chicago White Sox,2024-04-14 18:11:00,7511
33189642,Pittsburgh Pirates @ Philadelphia Phillies,2024-04-14 17:36:00,7511
33189643,Atlanta Braves @ Miami Marlins,2024-04-14 17:41:00,7511
33189640,St. Louis Cardinals @ Arizona Diamondbacks,2024-04-14 20:11:00,7511
33189646,New York Yankees @ Cleveland Guardians,2024-04-14 17:41:00,7511
33189647,Los Angeles Angels @ Boston Red Sox,2024-04-14 17:36:00,7511
33189644,San Diego Padres @ Los Angeles Dodgers,2024-04-14 23:11:00,7511
33189645,Texas Rangers @ Houston Astros,2024-04-14 18:11:00,7511
33192170,New York Yankees @ Toronto Blue Jays,2024-04-15 23:08:00,7511
33192171,Kansas City Royals @ Chicago White Sox,2024-04-15 23:41:00,7511
33192168,Texas Rangers @ Detroit Tigers,2024-04-15 22:41:00,7511
33192169,Los Angeles Angels @ Tampa Bay Rays,2024-04-15 22:51:00,7511
33192174,Cincinnati Reds @ Seattle Mariners,2024-04-16 01:43:00,7511
33192172,Atlanta Braves @ Houston Astros,2024-04-16 00:11:00,7511
33192173,St. Louis Cardinals @ Oakland Athletics,2024-04-16 01:41:00,7511
33192162,San Francisco Giants @ Miami Marlins,2024-04-15 22:41:00,7511
33192163,Pittsburgh Pirates @ New York Mets,2024-04-15 23:11:00,7511
33192160,Chicago Cubs @ Arizona Diamondbacks,2024-04-16 01:41:00,7511
33192161,Colorado Rockies @ Philadelphia Phillies,2024-04-15 22:41:00,7511
33192166,Cleveland Guardians @ Boston Red Sox,2024-04-15 15:11:00,7511
33192167,Minnesota Twins @ Baltimore Orioles,2024-04-15 22:36:00,7511
33192164,San Diego Padres @ Milwaukee Brewers,2024-04-15 23:41:00,7511
33192165,Washington Nationals @ Los Angeles Dodgers,2024-04-16 02:11:00,7511
33195058,St. Louis Cardinals @ Oakland Athletics,2024-04-17 01:41:00,7511
33195056,Atlanta Braves @ Houston Astros,2024-04-17 00:11:00,7511
33195057,Cincinnati Reds @ Seattle Mariners,2024-04-17 01:41:00,7511
33195050,Texas Rangers @ Detroit Tigers,2024-04-16 17:11:00,7511
33195051,Minnesota Twins @ Baltimore Orioles,2024-04-16 22:36:00,7511
33195048,San Diego Padres @ Milwaukee Brewers,2024-04-16 23:41:00,7511
33195054,Cleveland Guardians @ Boston Red Sox,2024-04-16 23:11:00,7511
33195052,Los Angeles Angels @ Tampa Bay Rays,2024-04-16 22:51:00,7511
33195053,New York Yankees @ Toronto Blue Jays,2024-04-16 23:08:00,7511
33195043,Chicago Cubs @ Arizona Diamondbacks,2024-04-17 01:41:00,7511
33195044,Colorado Rockies @ Philadelphia Phillies,2024-04-16 22:41:00,7511
33195045,San Francisco Giants @ Miami Marlins,2024-04-16 22:41:00,7511
33195049,Washington Nationals @ Los Angeles Dodgers,2024-04-17 02:11:00,7511
33195055,Kansas City Royals @ Chicago White Sox,2024-04-16 23:41:00,7511
33195046,Pittsburgh Pirates @ New York Mets,2024-04-16 23:11:00,7511
33197858,Cleveland Guardians @ Boston Red Sox,2024-04-17 23:11:00,7511
33197859,Atlanta Braves @ Houston Astros,2024-04-17 18:11:00,7511
33197856,New York Yankees @ Toronto Blue Jays,2024-04-17 19:08:00,7511
33197857,Los Angeles Angels @ Tampa Bay Rays,2024-04-17 22:51:00,7511
33197862,St. Louis Cardinals @ Oakland Athletics,2024-04-17 19:38:00,7511
33197863,Cincinnati Reds @ Seattle Mariners,2024-04-17 20:11:00,7511
33197851,Colorado Rockies @ Philadelphia Phillies,2024-04-17 22:06:00,7511
33197848,Pittsburgh Pirates @ New York Mets,2024-04-17 17:11:00,7511
